danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.551,0.82,-3.849,0.0356,0.407,0.0,0.0871,0.14,100.841,259053
0.555,0.83,-6.288,0.462,0.0187,0.0,0.0536,0.562,113.951,295567
0.848,0.932,-6.6,0.335,0.296,0.0,0.562,0.824,91.992,364507
0.338,0.437,-8.002,0.0363,0.0426,0.0,0.0642,0.148,68.364,280293
0.732,0.599,-11.738,0.102,0.0566,0.0233,0.194,0.719,171.987,229760
0.562,0.713,-7.909,0.0272,0.0124,4.74e-05,0.291,0.591,119.496,269259
0.653,0.82,-8.242,0.0565,0.0153,0.00327,0.313,0.586,100.001,263093
0.73,0.632,-6.823,0.031,0.00103,0.469,0.108,0.47,132.98,338813
0.728,0.928,-5.092,0.0684,0.0222,0.0,0.0569,0.618,129.982,328516
0.281,0.955,-3.652,0.115,0.0076,0.000566,0.117,0.49,169.931,310933
0.384,0.305,-9.355,0.0298,0.472,2.01e-05,0.218,0.171,139.947,330919
0.573,0.636,-7.848,0.36,0.272,0.0,0.374,0.742,173.249,364814
0.792,0.985,-3.808,0.052,0.191,0.0,0.612,0.696,113.992,213667
0.797,0.531,-13.357,0.0322,0.0539,0.359,0.1,0.438,110.03,231773
0.833,0.303,-14.675,0.0357,0.297,0.0,0.124,0.656,135.067,242573
0.607,0.485,-7.47,0.0395,0.502,0.0,0.113,0.183,129.802,234827
0.908,0.694,-9.752,0.221,0.00015,0.000138,0.241,0.62,103.979,249615
0.735,0.654,-7.258,0.376,0.0118,0.0,0.13,0.549,172.102,232873
0.43,0.402,-10.048,0.0332,0.492,0.0,0.113,0.227,139.867,294475
0.739,0.83,-7.01,0.324,0.114,6.05e-06,0.324,0.532,87.996,261364
0.585,0.62,-3.687,0.0336,0.321,0.0023,0.11,0.743,171.467,250293
0.542,0.315,-8.735,0.0277,0.839,7.22e-06,0.207,0.3,130.018,279800
0.369,0.554,-5.349,0.0332,0.0942,3.03e-05,0.0873,0.0647,135.716,366373
0.575,0.708,-8.35,0.0727,0.831,1.99e-06,0.536,0.896,99.191,203128
0.732,0.996,-2.761,0.0354,0.00513,0.167,0.239,0.966,140.068,95987
0.619,0.868,-6.58,0.0568,0.0139,0.88,0.343,0.57,120.018,289547
0.764,0.678,-6.102,0.0475,0.136,0.0,0.0852,0.0983,100.013,277267
0.557,0.915,-4.131,0.0615,0.00296,0.0126,0.0993,0.699,127.835,270267
0.734,0.52,-5.934,0.0361,0.375,0.0,0.132,0.525,129.993,244951
0.38,0.472,-6.073,0.0309,0.656,0.0,0.366,0.171,131.036,281966
0.345,0.454,-8.058,0.0297,0.633,6.41e-05,0.119,0.168,72.83,281849
0.671,0.601,-6.459,0.344,0.356,0.0,0.457,0.896,77.186,275876
0.608,0.59,-11.426,0.264,0.585,0.0447,0.0863,0.731,78.385,312889
0.65,0.39,-17.945,0.0565,0.657,0.0,0.0556,0.79,149.286,314384
0.421,0.322,-9.1,0.0306,0.877,1.88e-05,0.123,0.0845,79.314,277629
0.462,0.968,-3.158,0.0961,0.000112,1.08e-06,0.155,0.699,146.354,326600
0.55,0.0807,-14.896,0.228,0.0517,0.712,0.081,0.299,179.69,43107
0.825,0.955,-1.596,0.0976,0.0702,1.77e-05,0.0802,0.905,136.079,125130
0.552,0.533,-7.428,0.0313,0.385,0.0,0.119,0.729,163.949,202173
0.881,0.864,-6.741,0.208,0.237,0.0,0.0895,0.71,125.983,220241
0.75,0.975,-3.098,0.0999,0.206,1.18e-06,0.112,0.616,120.013,216627
0.557,0.0309,-22.985,0.0353,0.929,6.9e-05,0.0846,0.3,144.785,208458
0.416,0.96,-4.64,0.0619,0.000547,2.14e-05,0.315,0.585,179.827,279467
0.75,0.865,-4.434,0.21,0.126,0.0,0.107,0.93,81.021,235440
0.608,0.442,-9.972,0.0257,0.175,0.00165,0.107,0.704,99.251,220752
0.756,0.603,-6.555,0.0291,0.365,0.0,0.0766,0.505,105.992,205933
0.668,0.6,-8.451,0.0286,0.624,0.0,0.0788,0.467,111.914,188600
0.76,0.913,-2.687,0.0857,0.0396,9.41e-06,0.351,0.944,115.26,68470
0.429,0.655,-5.544,0.033,0.000273,0.00136,0.112,0.172,174.126,267533
0.577,0.337,-9.188,0.0378,0.843,4.83e-06,0.138,0.263,123.576,260747
0.396,0.863,-5.277,0.0901,0.014,1.33e-05,0.109,0.443,84.868,358200
0.6,0.862,-5.884,0.0323,0.318,0.0003,0.675,0.755,127.263,246667
0.384,0.862,-5.709,0.085,0.00324,9.04e-05,0.342,0.74,154.837,198786
0.38,0.875,-5.195,0.0381,0.0125,0.00744,0.388,0.223,97.47,232269
0.367,0.433,-7.726,0.0356,0.674,0.000771,0.105,0.138,126.217,262687
0.828,0.804,-7.662,0.126,0.00328,0.784,0.0841,0.668,122.985,366853
0.717,0.837,-6.649,0.262,0.255,0.0101,0.366,0.838,198.152,202533
0.676,0.627,-8.42,0.0328,0.126,0.00145,0.359,0.57,96.998,209072
0.77,0.93,-3.681,0.0536,0.113,0.0,0.0679,0.396,102.04,236867
0.273,0.974,-5.421,0.187,0.000593,0.00216,0.165,0.463,134.79,352800
0.786,0.568,-5.578,0.0508,0.00104,0.641,0.0756,0.358,114.036,332080
0.594,0.65,-2.346,0.0426,0.464,0.0,0.276,0.835,179.97,131840
0.442,0.629,-7.757,0.0294,0.00237,0.000208,0.313,0.544,119.655,201154
0.782,0.844,-6.562,0.0439,0.0473,0.0,0.0605,0.956,110.034,230933
0.663,0.944,-4.158,0.0642,0.000517,0.000225,0.255,0.834,154.859,294833
0.756,0.633,-8.145,0.0238,0.456,0.0571,0.114,0.622,99.967,297960
0.646,0.883,-4.249,0.0828,0.0111,0.00047,0.274,0.779,172.272,74870
0.36,0.559,-7.305,0.036,0.109,2.78e-06,0.0568,0.253,181.334,257463
0.608,0.628,-4.875,0.0283,0.00315,0.00164,0.406,0.737,119.723,201280
0.51,0.509,-6.791,0.0258,0.172,0.0,0.216,0.277,141.955,213612
0.311,0.424,-8.77,0.0593,0.264,0.714,0.368,0.132,100.019,385600
0.28,0.965,-1.536,0.111,0.0227,0.000316,0.362,0.496,169.86,292067
0.652,0.698,-9.731,0.0459,0.0266,0.00237,0.116,0.565,107.008,298121
0.727,0.719,-8.364,0.0478,0.382,0.00155,0.148,0.782,112.953,238293
0.632,0.955,-3.121,0.0493,0.0431,0.0,0.227,0.887,104.024,259500
0.643,0.867,-3.723,0.184,0.0379,0.0,0.09,0.541,191.837,218640
0.771,0.824,-7.242,0.0572,0.015,0.668,0.108,0.942,122.994,390253
0.697,1.0,-1.582,0.0961,0.176,0.000523,0.0387,0.823,141.992,219920
0.652,0.974,-3.393,0.0815,0.369,0.0,0.102,0.645,136.053,193360
0.787,0.999,-4.552,0.0676,0.0362,0.00189,0.0856,0.902,142.773,249933
0.689,0.854,-4.661,0.0302,0.0727,0.0,0.323,0.734,109.993,241110
0.901,0.887,-5.772,0.165,0.119,2.09e-06,0.027,0.759,120.028,203040
0.579,0.64,-9.733,0.0609,0.534,0.0,0.1,0.689,96.082,383822
0.487,0.754,-6.524,0.0364,0.11,0.0,0.0974,0.548,80.284,220133
0.88,0.963,-4.031,0.0576,0.349,1.25e-06,0.0176,0.781,118.0,267200
0.55,0.73,-4.686,0.0538,0.161,0.0,0.135,0.629,175.998,249493
0.526,0.918,-4.739,0.204,0.127,0.0,0.178,0.788,205.748,213173
0.856,0.765,-5.356,0.0353,0.325,0.0,0.0584,0.811,115.996,213800
0.339,0.945,-5.3,0.0602,0.000582,0.0,0.134,0.575,179.703,283760
0.81,0.611,-12.571,0.297,0.222,0.000319,0.174,0.912,82.399,260920
0.334,0.328,-8.862,0.0312,0.665,8.41e-06,0.101,0.125,133.463,276867
0.909,0.868,-0.425,0.211,0.107,0.0,0.122,0.723,98.04,275987
0.673,0.978,-3.99,0.0343,0.0232,0.00642,0.307,0.947,140.957,215400
0.828,0.831,-6.244,0.0354,0.218,3.67e-05,0.159,0.668,99.973,424173
0.799,0.443,-13.728,0.051,0.0469,0.00921,0.123,0.349,112.927,288480
0.724,0.94,-4.272,0.204,0.33,0.0,0.125,0.62,141.982,227733
0.687,0.712,-7.74,0.0329,0.119,4.93e-05,0.13,0.554,91.995,286347
0.49,0.491,-7.299,0.0266,0.0109,4.6e-06,0.149,0.204,132.542,223533
0.773,0.659,-10.347,0.0324,0.559,0.489,0.0859,0.943,101.063,200840
0.788,0.89,-3.811,0.0537,0.19,0.0,0.149,0.871,111.979,184827
0.454,0.968,-2.845,0.114,0.00713,0.00179,0.375,0.2,102.38,187333
0.427,0.996,-4.319,0.326,0.000169,0.0364,0.0593,0.0389,179.936,220733
0.768,0.836,-7.0,0.0461,0.56,0.00346,0.311,0.643,130.03,184760
0.668,0.762,-7.744,0.0336,0.226,0.000221,0.142,0.59,139.307,205307
0.72,0.566,-6.232,0.0335,0.654,0.0,0.0863,0.353,97.991,252440
0.824,0.648,-7.45,0.0651,0.0821,0.000787,0.0565,0.704,126.959,249880
0.609,0.278,-7.83,0.0297,0.898,0.0,0.0887,0.373,134.993,269867
0.684,0.912,-4.253,0.0533,0.199,0.0,0.0417,0.795,100.219,269533
0.421,0.474,-7.792,0.0337,0.403,0.000169,0.112,0.338,130.845,283613
0.674,0.9,-3.096,0.0503,0.185,0.0,0.0827,0.549,137.063,264560
0.673,0.646,-8.132,0.0403,0.756,0.139,0.283,0.897,111.121,199480
0.613,0.312,-12.811,0.0307,0.549,0.0,0.0812,0.405,108.803,386547
0.371,0.244,-10.446,0.0306,0.868,2.09e-06,0.174,0.349,81.757,61000
0.736,0.679,-9.885,0.0322,0.6,4.18e-05,0.0599,0.852,105.061,228293
0.784,0.785,-11.928,0.111,0.124,0.000204,0.319,0.881,111.995,301813
0.591,0.786,-5.665,0.0285,0.0111,0.0,0.105,0.483,123.974,280386
0.521,0.268,-13.338,0.0266,0.658,4.5e-05,0.143,0.161,137.887,224400
0.708,0.989,-2.314,0.0343,0.0202,0.00534,0.28,0.972,139.995,114853
0.883,0.714,-7.603,0.0964,0.096,0.00731,0.061,0.879,105.038,224707
0.74,0.98,-3.775,0.118,0.0289,7.24e-05,0.353,0.772,119.933,120140
0.683,0.748,-6.462,0.0317,0.12,8.81e-05,0.0935,0.668,106.602,196227
0.742,0.916,-6.291,0.0303,0.112,2.78e-06,0.297,0.965,134.011,189791
0.693,0.709,-5.106,0.034,0.689,0.0,0.0968,0.394,112.913,282187
0.448,0.882,-5.68,0.13,0.0021,0.00182,0.085,0.399,94.005,274000
0.743,0.949,-4.263,0.0614,0.0691,2.21e-05,0.0554,0.931,101.961,210000
0.706,0.616,-6.765,0.0262,0.207,0.0,0.075,0.661,108.938,186093
0.457,0.504,-8.6,0.0259,0.417,3.26e-05,0.0704,0.366,90.957,167400
0.593,0.567,-8.432,0.0269,0.711,0.000223,0.632,0.289,104.899,457733
0.836,0.667,-6.71,0.046,0.215,0.0,0.0934,0.865,92.98,209133
0.636,0.395,-8.608,0.0363,0.627,6.25e-06,0.116,0.174,141.903,272867
0.665,0.619,-7.136,0.0277,0.065,1.25e-05,0.558,0.347,129.994,297960
0.774,0.69,-7.369,0.0288,0.0837,0.000815,0.123,0.812,96.993,253427
0.815,0.608,-9.576,0.0277,0.388,2.58e-06,0.15,0.855,104.054,271438
0.43,0.319,-9.034,0.0306,0.556,0.0,0.26,0.186,141.663,248000
0.414,0.417,-7.236,0.0292,0.445,2.58e-06,0.173,0.221,130.002,207200
0.663,0.737,-5.458,0.0328,0.00243,0.0,0.0683,0.761,145.874,276533
0.675,0.837,-6.488,0.0378,0.118,0.0,0.144,0.57,104.904,257167
0.643,0.529,-9.185,0.0379,0.4,2.06e-06,0.192,0.567,128.07,280147
0.715,0.949,-5.497,0.083,0.0943,0.0,0.362,0.765,102.993,210027
0.785,0.879,-5.82,0.0918,0.127,0.0,0.109,0.785,101.064,258827
0.726,0.687,-5.766,0.339,0.208,0.0,0.35,0.541,176.013,268293
0.642,0.747,-3.986,0.0324,0.00767,4.73e-05,0.0363,0.708,146.056,274627
0.788,0.83,-5.736,0.0632,0.00646,0.00107,0.0938,0.687,104.869,223800
